Fecha,Año,Mes,Leads_Total,Ventas,Provision,Reembolso_Marca,Bono_Marketing,Aportacion_Agencia,Reembolso_Total,CAP_General,CAP_GAC,CAC_General,CAC_GAC,Porcentaje_Recuperacion_Marca
2024-02-01,2024,Febrero,543,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024,Marzo,178,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024,Abril,416,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024,Mayo,422,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,2024,Junio,967,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024,Julio,954,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024,Agosto,1409,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,2024,Septiembre,1315,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024,Octubre,1973,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024,Noviembre,1562,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,2024,Diciembre,1282,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,2025,Enero,1042,26,346790.94,211471.45,0.0,135319.49,211471.45,333.0,130.0,13338.0,5205.0,0.61
2025-02-01,2025,Febrero,561,20,423573.75,228900.0,50000.0,144673.75,278900.0,755.0,258.0,21179.0,7234.0,0.66
2025-03-01,2025,Marzo,925,30,242750.78,134648.46,50000.0,58102.32,184648.46,262.0,63.0,8092.0,1937.0,0.76
2025-04-01,2025,Abril,1083,30,517105.0,245000.0,50000.0,222105.0,295000.0,477.0,205.0,17237.0,7404.0,0.57
2025-05-01,2025,Mayo,815,34,570803.67,359639.66,50000.0,161164.01,409639.66,700.0,198.0,16788.0,4740.0,0.72
2025-06-01,2025,Junio,1083,40,788379.0,819986.0,50000.0,-31607.0,869986.0,728.0,-29.0,19709.0,-790.0,1.1
2025-07-01,2025,Julio,1358,36,735500.0,604550.0,0.0,130950.0,604550.0,542.0,96.0,20431.0,3638.0,0.82
2025-08-01,2025,Agosto,1419,27,793172.45,826149.48,0.0,-32977.03,826149.48,559.0,-23.0,29377.0,-1221.0,1.04
2025-09-01,2025,Septiembre,1100,38,991000.0,940031.0,50000.0,969.0,990031.0,901.0,1.0,26079.0,26.0,1.0
2025-10-01,2025,Octubre,1192,40,1140000.0,1033000.0,50000.0,57000.0,1083000.0,956.0,48.0,28500.0,1425.0,0.95
2025-11-01,2025,Noviembre,1061,41,820304.0,746821.0,50000.0,23483.0,796821.0,773.0,22.0,20007.0,573.0,0.97
2025-12-01,2025,Diciembre,1534,34,1228270.0,1100000.0,0.0,128270.0,1100000.0,801.0,84.0,36126.0,3773.0,0.9
2026-01-01,2026,Enero,1516,38,1323767.0,1147742.0,50000.0,126025.0,1197742.0,873.0,83.0,34836.0,3316.0,0.9
2026-02-01,2026,Febrero,1235,30,586466.0,539269.0,50000.0,-2803.0,589269.0,475.0,-2.0,19549.0,-93.0,1.0
2026-03-01,2026,Marzo,1785,41,934131.0,626000.0,50000.0,258131.0,676000.0,523.0,145.0,22784.0,6296.0,0.72
2026-04-01,2026,Abril,1393,41,859317.0,791064.0,50000.0,18253.0,841064.0,617.0,13.0,20959.0,445.0,0.98
2026-05-01,2026,Mayo,1251,35,853876.25,739082.0,50000.0,64794.25,789082.0,683.0,52.0,24396.0,1851.0,0.92
2026-06-01,2026,Junio,1315,37,761245.0,0.0,0.0,76658.54,0.0,579.0,66.31,20574.0,2287.34,0.0
