Fecha,Año,Mes,Canal,Leads,Efectivos,SDC,PDM,Citas_Programadas,Citas_Efectivas,Ventas,Conversion,Aporte
2024-02-01,2024,Febrero,Digital,57.0,28,2.0,0,3,2,0,0.0,0.0
2024-02-01,2024,Febrero,Piso,329.0,329,23.54,22,9,4,9,0.0274,0.75
2024-02-01,2024,Febrero,Plazas,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-03-01,2024,Marzo,Digital,145.0,72,6.0,0,6,5,1,0.0069,0.1429
2024-03-01,2024,Marzo,Piso,19.0,19,6.0,13,28,16,4,0.2105,0.5714
2024-03-01,2024,Marzo,Plazas,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-04-01,2024,Abril,Digital,129.0,64,5.0,0,23,5,0,0.0,0.0
2024-04-01,2024,Abril,Piso,76.0,76,24.0,35,15,6,10,0.1316,0.24
2024-04-01,2024,Abril,Plazas,25.0,22,2.0,1,1,0,0,0.0,0.0
2024-05-01,2024,Mayo,Digital,463.0,229,19.0,0,43,23,0,0.0,0.0
2024-05-01,2024,Mayo,Piso,87.0,87,27.0,40,38,16,1,0.0115,0.0769
2024-05-01,2024,Mayo,Plazas,28.0,25,2.0,11,3,2,0,0.0,0.0
2024-06-01,2024,Junio,Digital,350.0,173,15.0,0,43,19,1,0.0029,0.1667
2024-06-01,2024,Junio,Piso,55.0,55,17.0,28,78,60,3,0.0545,0.5
2024-06-01,2024,Junio,Plazas,68.0,61,6.0,5,2,2,0,0.0,0.0
2024-07-01,2024,Julio,Digital,192.0,95,8.0,0,36,14,2,0.0104,0.0951999999999999
2024-07-01,2024,Julio,Piso,92.0,92,51.0,35,75,57,10,0.1086999999999999,0.4761999999999999
2024-07-01,2024,Julio,Plazas,294.0,264,24.0,6,30,8,2,0.0068,0.0951999999999999
2024-08-01,2024,Agosto,Digital,1112.0,549,46.0,0,57,18,0,0.0,0.0
2024-08-01,2024,Agosto,Piso,77.0,77,32.0,31,65,46,9,0.1168999999999999,0.5294
2024-08-01,2024,Agosto,Plazas,248.0,223,20.0,17,50,18,3,0.0121,0.1765
2024-09-01,2024,Septiembre,Digital,313.31,668,56.0,8,107,27,6,0.0044,0.3529
2024-09-01,2024,Septiembre,Piso,57.0,57,28.0,28,37,19,6,0.1052999999999999,0.3529
2024-09-01,2024,Septiembre,Plazas,52.0,47,4.0,8,13,4,0,0.0,0.0
2024-10-01,2024,Octubre,Digital,1142.0,564,48.0,7,83,33,1,0.0009,0.0435
2024-10-01,2024,Octubre,Piso,43.0,43,38.0,14,31,25,3,0.0698,0.1304
2024-10-01,2024,Octubre,Plazas,59.0,53,5.0,5,13,6,2,0.0339,0.087
2024-11-01,2024,Noviembre,Digital,846.0,418,35.0,17,71,18,5,0.0059,0.2273
2024-11-01,2024,Noviembre,Piso,50.0,50,32.0,25,18,14,11,0.22,0.5
2024-11-01,2024,Noviembre,Plazas,154.0,138,13.0,19,20,10,3,0.0195,0.1364
2024-12-01,2024,Diciembre,Digital,755.0,373,31.0,28,50,27,10,0.0132,0.3125
2024-12-01,2024,Diciembre,Piso,64.0,64,42.0,32,42,36,8,0.125,0.25
2024-12-01,2024,Diciembre,Plazas,280.0,251,26.0,14,40,19,7,0.025,0.2188
2025-01-01,2025,Enero,Digital,202.0,100,21.0,22,74,37,9,0.0446,0.3461999999999999
2025-01-01,2025,Enero,Piso,71.0,71,34.0,28,71,71,10,0.1408,0.3846
