Fecha,Año,Mes,Ventas,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,Porcentaje_Aprobacion,Porcentaje_Formalizacion
2024-01-01,2024,Enero,30,5,1,0,4,1,0.2,0.51
2024-02-01,2024,Febrero,12,6,2,0,4,1,0.33,0.5
2024-03-01,2024,Marzo,7,11,7,1,4,5,0.64,0.71
2024-04-01,2024,Abril,8,23,14,0,9,11,0.61,0.79
2024-05-01,2024,Mayo,13,26,8,4,14,3,0.31,0.38
2024-06-01,2024,Junio,6,43,13,0,22,6,0.3,0.46
2024-07-01,2024,Julio,21,55,30,3,17,17,0.55,0.57
2024-08-01,2024,Agosto,17,36,19,0,13,9,0.53,0.47
2024-09-01,2024,Septiembre,17,56,26,1,13,7,0.46,0.27
2024-10-01,2024,Octubre,23,79,31,32,12,14,0.39,0.45
2024-11-01,2024,Noviembre,22,76,25,26,25,14,0.33,0.56
2024-12-01,2024,Diciembre,32,103,39,33,26,17,0.38,0.44
2025-01-01,2025,Enero,26,83,30,25,26,19,0.36,0.63
2025-02-01,2025,Febrero,20,76,27,18,21,12,0.36,0.44
2025-03-01,2025,Marzo,30,92,31,27,30,20,0.34,0.65
2025-04-01,2025,Abril,30,59,35,6,16,17,0.59,0.49
2025-05-01,2025,Mayo,34,76,40,7,25,19,0.53,0.48
2025-06-01,2025,Junio,40,97,46,25,22,25,0.47,0.54
2025-07-01,2025,Julio,36,104,41,22,33,21,0.39,0.51
2025-08-01,2025,Agosto,27,99,27,22,44,13,0.27,0.48
2025-09-01,2025,Septiembre,38,127,43,32,49,25,0.34,0.58
2025-10-01,2025,Octubre,40,136,51,22,62,25,0.38,0.49
2025-11-01,2025,Noviembre,42,118,49,32,36,24,0.42,0.49
2025-12-01,2025,Diciembre,34,111,31,49,28,14,0.28,0.45
2026-01-01,2026,Enero,38,113,37,34,36,21,0.33,0.57
2026-02-01,2026,Febrero,30,83,37,21,25,17,0.45,0.46
2026-03-01,2026,Marzo,41,85,41,14,30,18,0.48,0.44
2026-04-01,2026,Abril,41,74,42,16,16,16,0.57,0.38
2026-05-01,2026,Mayo,35,95,44,17,30,19,0.46,0.43
2026-06-01,2026,Junio,37,82,35,10,33,13,0.43,0.37
2026-07-01,2026,Julio,33,32,12,9,9,4,0.38,0.33
