Fecha,Año,Mes,Plantilla,Operando,Cumplimiento_Plantilla,Bajas,Vacantes,Indice_Rotacion,Capacitacion_Marca,Clima_Laboral,Productividad_APVS,APVS_Cumplieron_Objetivo,Auditoria_Salesforce,APVS_Oro,APVS_Plata,APVS_Bronce,Contratos_Mayores_3_Meses,Plantilla_Permanencia
2025-01-01,2025,Enero,29,28,0.97,3,1,0.1,0.0,4.3,0.61,0.4,0.92,3,1,3,17,0.61
2025-02-01,2025,Febrero,29,24,0.83,1,5,0.03,0.0,4.3,0.42,0.33,0.92,3,1,3,18,0.75
2025-03-01,2025,Marzo,29,26,0.9,6,3,0.05,0.8,4.3,0.86,0.38,0.81,3,2,3,18,0.69
2025-04-01,2025,Abril,30,27,0.9,0,3,0.0,0.82,4.3,0.9,0.44,0.82,4,1,3,18,0.67
2025-05-01,2025,Mayo,31,28,0.9,1,3,0.03,0.8,4.3,0.91,0.45,0.83,4,1,5,19,0.68
2025-06-01,2025,Junio,33,29,0.88,3,4,0.09,0.82,4.3,0.95,0.86,0.81,4,1,10,21,0.72
2025-07-01,2025,Julio,33,30,0.91,2,3,0.06,0.84,4.3,0.78,0.43,0.9,4,1,9,23,0.77
2025-08-01,2025,Agosto,34,32,0.94,2,2,0.06,0.86,4.3,0.54,0.15,0.97,4,2,7,21,0.66
2025-09-01,2025,Septiembre,35,34,0.97,1,2,0.03,0.91,4.3,0.87,0.58,0.94,4,2,8,26,0.76
2025-10-01,2025,Octubre,36,34,0.94,1,2,0.03,0.97,4.3,0.76,0.4,0.92,4,3,8,25,0.74
2025-11-01,2025,Noviembre,36,34,0.94,1,3,0.03,0.98,4.3,0.81,0.47,0.92,4,5,6,30,0.88
2025-12-01,2025,Diciembre,36,32,0.89,2,3,0.06,0.07,4.3,0.6,0.29,0.85,4,4,6,31,0.97
2026-01-01,2026,Enero,37,33,0.89,3,4,0.08,0.2,4.3,0.91,0.64,0.85,4,3,7,29,0.88
2026-02-01,2026,Febrero,40,37,0.93,0,3,0.0,0.33,4.3,0.67,0.47,0.86,4,3,8,30,0.81
2026-03-01,2026,Marzo,42,38,0.9,0,4,0.0,0.47,4.3,0.71,0.47,0.83,4,3,9,37,0.97
2026-04-01,2026,Abril,44,40,0.91,2,4,0.05,0.72,4.3,0.74,0.5,0.95,0,5,9,36,0.9
2026-05-01,2026,Mayo,44,40,0.91,0,4,0.0,0.89,4.0,0.82,0.33,0.95,0,5,8,35,0.88
2026-06-01,2026,Junio,44,42,0.95,2,2,0.05,0.9,4.0,0.82,0.36,0.95,0,5,8,35,0.9
2026-07-01,2026,Julio,44,42,0.95,2,1,0.05,0.73,4.0,0.82,0.36,0.95,3,1,2,35,0.9
