Fecha,Año,Mes,Objetivo_Interno,Objetivo_Margen_Variable,Objetivo_Planta,Ventas_Reales,Cumplimiento_Interno,Cumplimiento_Planta,Porcentaje_Conversion
2024-01-01,2024,Enero,0,0,0,0,0.81,0.0,0.0
2024-02-01,2024,Febrero,15,0,0,12,0.8,0.0,0.0308
2024-03-01,2024,Marzo,15,0,0,7,0.47,0.0,0.0547
2024-04-01,2024,Abril,15,0,0,8,0.53,0.0,0.0278
2024-05-01,2024,Mayo,15,0,0,13,0.87,0.0,0.0474
2024-06-01,2024,Junio,15,0,0,6,0.4,0.0,0.0097
2024-07-01,2024,Julio,20,0,0,21,1.05,0.0,0.0368
2024-08-01,2024,Agosto,23,0,0,17,0.74,0.0,0.0311
2024-09-01,2024,Septiembre,24,0,0,17,0.71,0.0,0.0321
2024-10-01,2024,Octubre,25,0,0,23,0.92,0.0,0.0279999999999999
2024-11-01,2024,Noviembre,27,0,0,22,0.81,0.0,0.0212
2024-12-01,2024,Diciembre,30,0,0,32,1.07,0.0,0.0332
2025-01-01,2025,Enero,30,24,26,26,0.87,1.0,0.036
2025-02-01,2025,Febrero,30,19,20,20,0.67,1.0,0.0426999999999999
2025-03-01,2025,Marzo,30,26,30,30,1.0,1.0,0.0409999999999999
2025-04-01,2025,Abril,30,26,30,30,1.0,1.0,0.0344
2025-05-01,2025,Mayo,41,28,34,34,0.83,1.0,0.0491
2025-06-01,2025,Junio,40,30,40,40,1.0,1.0,0.0576
2025-07-01,2025,Julio,45,28,36,36,0.8,1.0,0.0403
2025-08-01,2025,Agosto,45,31,27,27,0.6,1.0,0.0433
2025-09-01,2025,Septiembre,45,31,41,41,0.91,1.0,0.0621
2025-10-01,2025,Octubre,45,32,40,40,0.89,1.0,0.0576
2025-11-01,2025,Noviembre,45,35,42,42,0.93,1.0,0.0565
2025-12-01,2025,Diciembre,50,35,49,34,0.68,0.69,0.0466
2026-01-01,2026,Enero,40,37,37,37,0.93,1.0,0.0532
2026-02-01,2026,Febrero,38,35,35,30,0.79,0.86,0.0411
2026-03-01,2026,Marzo,40,36,37,41,1.03,1.11,0.0434
2026-04-01,2026,Abril,40,38,38,41,1.03,1.08,0.0566
2026-05-01,2026,Mayo,40,38,38,35,0.88,0.92,0.0475999999999999
2026-06-01,2026,Junio,40,39,39,37,0.93,0.95,0.0491
2026-07-01,2026,Julio,40,42,42,33,0.83,0.79,0.04
